Tahun,Bulan,Jumlah Donasi (kg)
2024,Januari,19327.84
2024,Februari,27891.03
2024,Maret,225044.71
2024,April,1059.4
2024,Mei,38649.71
2024,Juni,12771.85
2024,Juli,26571.03
2024,Agustus,19440.9
2024,September,27573.92
2024,Oktober,30087.51
2024,November,22097.18
2024,Desember,30201.84
2025,Januari,76477.44
2025,Februari,94799.59
2025,Maret,146085.42
2025,April,73093.15
2025,Mei,81632.24
2025,Juni,76030.37
2025,Juli,93079.16
2025,Agustus,155123.1
2025,September,268070.04
2025,Oktober,168013.49
2025,November,129668.49
2025,Desember,70885.34
